date,vm.VmStatistic.BlockStats.VmBlockStatistic.RdReq,vm.VmStatistic.BlockStats.VmBlockStatistic.WrReq,vm.VmStatistic.CpuStat.System,vm.VmStatistic.CpuStat.User,vm.VmStatistic.MemStat.GuestAvailable,vm.VmStatistic.NetStats.VmNetStatistic.RxBytes,vm.VmStatistic.NetStats.VmNetStatistic.TxBytes
2023-07-23 03:25:23,0.0,0.31999999999999995,6.82,24.523333333333333,33566261248.0,60002.62666666666,107559.11333333333
2023-07-23 03:30:23,0.0,0.30666666666666664,0.9233333333333335,30.306666666666665,33566261248.0,60144.61333333333,108037.84333333334
2023-07-23 03:35:23,0.0,0.32999999999999996,0.0,30.893333333333334,33566261248.0,60011.18666666667,107509.12666666666
2023-07-23 03:40:23,0.0,0.30333333333333334,0.0,31.076666666666664,33566261248.0,59287.57333333333,106289.00333333333
2023-07-23 03:45:23,0.0,0.35333333333333333,0.0,30.71333333333333,33566261248.0,58436.70333333333,105290.75666666667
2023-07-23 03:50:23,0.0,0.37666666666666665,0.0,30.493333333333332,33566261248.0,58022.86666666666,104397.70333333334
2023-07-23 03:55:23,0.0,0.2899999999999999,0.0,30.883333333333333,33566261248.0,58921.26333333333,105972.75
2023-07-23 04:00:23,0.0,0.35333333333333333,0.0,30.663333333333334,33566261248.0,58391.86333333333,104525.93666666668
2023-07-23 04:05:23,0.0,0.2866666666666666,0.0,30.313333333333333,33566261248.0,57933.31,104584.60666666666
2023-07-23 04:10:23,0.0,0.3,0.0,30.636666666666667,33566261248.0,58189.75666666667,104570.17333333334
2023-07-23 04:15:23,0.0,0.31666666666666665,0.0,30.576666666666664,33566261248.0,58751.21,105179.23666666666
2023-07-23 04:20:23,0.0,0.3433333333333333,0.0,30.85,33566261248.0,59610.71,106430.45333333332
2023-07-23 04:25:23,0.0,0.3233333333333333,0.0,30.866666666666667,33566261248.0,60082.509999999995,106208.48999999999
2023-07-23 04:30:23,0.0,0.30999999999999994,0.0,30.860000000000003,33566261248.0,59661.9,106475.68666666668
2023-07-23 04:35:23,0.0,0.38,0.0,30.796666666666663,33566261248.0,59107.6,105770.09000000001
2023-07-23 04:40:23,0.0,0.3733333333333333,0.0,30.636666666666667,33566261248.0,59068.84333333334,105708.51999999999
2023-07-23 04:45:23,0.0,0.24666666666666665,0.0,30.82,33566261248.0,60433.83333333333,108231.13333333333
2023-07-23 04:50:23,0.0,0.37,1.6033333333333335,28.95333333333333,33566261248.0,59333.76333333333,105815.26333333334
2023-07-23 04:55:23,0.0,0.31666666666666665,6.609999999999999,23.9,33566261248.0,59332.55,106456.41
2023-07-23 05:00:23,0.0,0.3733333333333333,6.659999999999999,24.08,33566261248.0,59449.86,106836.16
2023-07-23 05:05:23,0.0,0.32666666666666666,6.713333333333334,24.389999999999997,33566261248.0,61882.57333333333,110828.66
2023-07-23 05:10:23,0.0,0.30999999999999994,6.923333333333334,24.66,33566261248.0,64702.61333333333,114341.64333333334
2023-07-23 05:15:23,0.0,0.3766666666666666,6.95,24.576666666666664,33566261248.0,66393.11,116769.97666666665
2023-07-23 05:20:23,0.0,0.42333333333333334,7.06,24.939999999999998,33566261248.0,67563.30666666667,118131.28
2023-07-23 05:25:23,0.0,0.3233333333333333,7.213333333333333,25.176666666666666,33566261248.0,69542.96333333333,122199.29333333333
2023-07-23 05:30:23,0.0,0.33666666666666667,2.1433333333333335,30.903333333333336,33566261248.0,73514.9,127920.68000000001
2023-07-23 05:35:23,0.0,0.30666666666666664,0.0,33.526666666666664,33566261248.0,77416.22666666667,132806.39666666667
2023-07-23 05:40:23,0.0,0.3333333333333333,0.0,33.9,33566261248.0,79280.22333333334,135511.77333333335
2023-07-23 05:45:23,0.0,0.3333333333333333,0.0,34.71666666666667,33566261248.0,84277.80333333333,141648.87666666665
2023-07-23 05:50:23,0.0,0.3233333333333333,0.0,34.70666666666666,33566261248.0,86523.76666666668,145707.42333333334
2023-07-23 05:55:23,0.0,0.3433333333333333,0.0,34.95666666666666,33566261248.0,88571.91333333333,148589.97333333333
2023-07-23 06:00:23,0.0,0.3433333333333333,0.0,36.21,33566261248.0,97299.59,158350.52666666667
2023-07-23 06:05:23,0.0,0.37,0.0,36.71666666666666,33566261248.0,101943.67000000001,163347.3
2023-07-23 06:10:23,0.0,0.29999999999999993,0.0,37.17333333333333,33566261248.0,105812.29,168103.99666666667
